sys.personal_direction.life_goals	我希望十年后过什么样的日子	What kind of life do I want in ten years
sys.personal_direction.values_principles	这件事是不是违背了我的底线	Does this choice conflict with what I believe in
sys.personal_direction.major_decisions	两个重要选择摆在面前我该如何取舍	How do I weigh two consequential choices
sys.personal_direction.self_reflection	为什么我总在类似情境里这样反应	Why do I keep reacting this way in similar situations
sys.personal_direction.habits_behavior	怎样戒掉拖到最后一刻才开始的毛病	How can I break this recurring behavior
sys.personal_direction.personal_productivity	每天被杂事打断怎么集中精力	I keep getting interrupted and cannot focus
sys.personal_direction.life_planning	未来几年生活的阶段安排怎么定	Map out the next few years of my life
sys.personal_direction.personal_admin	这些个人手续和待办该怎么整理	How should I organize my personal paperwork and errands
sys.family_relationships.parents_family	和父母的相处方式让我很纠结	I am struggling with my relationship with my parents
sys.family_relationships.siblings	我和姐姐之间最近有点疏远	My sister and I have drifted apart
sys.family_relationships.partner_relationship	和对象沟通总是绕回同一个争执	My partner and I keep having the same argument
sys.family_relationships.friendships	怎样跟多年没见的朋友重新联系	How do I reconnect with an old friend
sys.family_relationships.social_interaction	聚会时不知道怎么自然地加入聊天	I find it hard to join conversations at gatherings
sys.family_relationships.conflict_boundaries	对方越界时我该怎么明确拒绝	How do I say no when someone crosses a line
sys.family_relationships.caregiving_family_support	家里老人需要照顾谁来分担	My elderly relative needs care and we need to share duties
sys.family_relationships.pets	猫最近不吃饭我该注意什么	My cat has stopped eating and I am worried
sys.health_wellbeing.medical_care	该挂哪个科以及就诊前准备什么	Which clinic should I visit and what should I bring
sys.health_wellbeing.symptoms_conditions	连续几天头晕可能是什么情况	I have felt dizzy for several days
sys.health_wellbeing.medication_treatment	这两种药一起吃要注意什么	Can I take these medicines together
sys.health_wellbeing.mental_wellbeing	最近情绪低落总是焦虑	I have been anxious and down lately
sys.health_wellbeing.fitness	如何循序渐进提高跑步耐力	How can I build running endurance safely
sys.health_wellbeing.nutrition	每天蛋白质吃多少比较合适	How much protein should I eat each day
sys.health_wellbeing.sleep	凌晨总醒来然后睡不回去	I keep waking up at night and cannot fall back asleep
sys.health_wellbeing.preventive_health	体检报告哪些指标值得复查	Which screening results need follow-up
sys.education_learning.academic_courses	这门课的作业和课堂内容跟不上	I am falling behind in this course
sys.education_learning.exams_assessments	考试前怎么安排模拟题和复习	How should I prepare for the upcoming exam
sys.education_learning.thesis_research	论文选题的研究问题还不清楚	My thesis research question is still vague
sys.education_learning.reading_learning	读完这本书怎样真正理解内容	How can I retain what I learn from this book
sys.education_learning.language_learning	怎样练习英语口语不再卡壳	How can I improve my spoken English fluency
sys.education_learning.skill_learning	想从零学会剪辑应该先练什么	What should I practice first to learn video editing
sys.education_learning.academic_admin	选课系统和学分要求怎么处理	How do I sort out my course registration and credits
sys.education_learning.learning_methods	间隔复习和主动回忆怎么用	How should I use spaced repetition and recall
sys.career_work.job_search	适合我的岗位从哪里找	Where should I look for roles that fit me
sys.career_work.applications	这批职位的申请进度如何跟踪	How do I track applications I have sent
sys.career_work.interviews	面试问到项目经历时怎么回答	How should I explain my project experience in an interview
sys.career_work.career_strategy	下一步职业方向要转还是深耕	Should I change career direction or specialize
sys.career_work.workplace_daily	和同事交接任务总是遗漏细节	Handoffs with my coworkers keep missing details
sys.career_work.compensation_benefits	这份工作的薪资和福利怎么算	How do I compare salary and benefits in this offer
sys.career_work.performance_growth	绩效反馈说我需要提高影响力	My review says I need to improve my impact
sys.career_work.networking_professional	怎么跟行业前辈建立长期联系	How do I build relationships with people in my field
sys.projects_products.project_planning	项目里程碑和负责人怎么拆	How should we break this project into milestones
sys.projects_products.product_strategy	这个产品应该服务谁解决什么问题	Who is this product for and what problem should it solve
sys.projects_products.product_requirements	把用户诉求写成可验收的需求	Turn user needs into testable requirements
