sys.personal_direction.life_goals	我不想一直按别人的期待生活，想弄明白自己真正要追求什么	I'm unsure what I want my life to stand for in the long run
sys.personal_direction.values_principles	明知道有好处却觉得不该这么做，该怎样守住自己的原则	How do I decide what I refuse to compromise on
sys.personal_direction.major_decisions	要不要放弃现在稳定的机会去尝试另一条路，我很难下决定	I'm torn between two life-changing options
sys.personal_direction.self_reflection	回头看这次争执，我想弄清我自己的反应模式	I want to understand why I reacted so strongly yesterday
sys.personal_direction.habits_behavior	总是睡前刷手机到很晚，有什么办法改变这个习惯	I keep repeating a behavior I want to stop
sys.personal_direction.personal_productivity	待办越来越多却总抓不住最重要的一件事	I need a way to focus on the most important task today
sys.personal_direction.life_planning	未来三年想把工作和生活安排得更有方向	How should I map the stages of my life over the next few years
sys.personal_direction.personal_admin	换地址后各种账户和个人手续要更新哪些	My personal paperwork is scattered and needs sorting out
sys.family_relationships.parents_family	妈妈总拿我和别人比较，我该怎么跟她谈	My relationship with my father has become strained
sys.family_relationships.siblings	弟弟借了钱之后我们关系变得很尴尬	My brother and I need to resolve a family disagreement
sys.family_relationships.partner_relationship	和伴侣对未来的期待不同，怎样好好沟通	My spouse and I disagree about our future together
sys.family_relationships.friendships	朋友最近不怎么回应，我不知道要不要主动联系	A close friendship feels distant and I want to repair it
sys.family_relationships.social_interaction	第一次参加这个聚会，怎么跟不熟的人打招呼	I feel awkward meeting new people at a social gathering
sys.family_relationships.conflict_boundaries	别人总替我作决定，我想学会明确说不	How can I set limits with someone who keeps overstepping
sys.family_relationships.caregiving_family_support	父亲术后需要人陪护，家里该怎么轮流安排	Our family needs to divide the care of an aging relative
sys.family_relationships.pets	小狗换了环境一直躲着不出来怎么办	My dog is behaving strangely after the move
sys.health_wellbeing.medical_care	第一次去医院看这个问题，该先挂什么科	What should I prepare before seeing a clinician
sys.health_wellbeing.symptoms_conditions	胸口偶尔发紧已经持续一周，可能需要注意什么	This recurring rash and fatigue worry me
sys.health_wellbeing.medication_treatment	医生开了新药，漏服一次该怎么处理	I want to understand the side effects of my prescription
sys.health_wellbeing.mental_wellbeing	最近总提不起劲而且容易紧张	I have been feeling overwhelmed and emotionally low
sys.health_wellbeing.fitness	开始力量训练后怎样安排恢复日	How should I gradually increase my exercise capacity
sys.health_wellbeing.nutrition	每天吃得很随意，怎样搭配三餐更均衡	Does my diet provide enough nutrients for my needs
sys.health_wellbeing.sleep	睡到半夜就醒，白天一直没精神	My sleep is broken and I wake up exhausted
sys.health_wellbeing.preventive_health	今年应该做哪些常规检查和疫苗	Which preventive screenings should I discuss this year
sys.education_learning.academic_courses	这学期这门课的概念跟不上，怎么补基础	I'm struggling with the material in one of my classes
sys.education_learning.exams_assessments	临近测验，哪些题型应该重点练	How should I prepare for the assessment next week
sys.education_learning.thesis_research	导师让我把研究问题缩小到能验证的范围	My dissertation needs a sharper research question
sys.education_learning.reading_learning	一本专业书看完就忘，怎么读得更深入	I want to teach myself this subject through reading
sys.education_learning.language_learning	听力可以但开口表达总不流利	I need to practice speaking a language more naturally
sys.education_learning.skill_learning	想学会修图，应该按什么顺序练习	What practice path will help me acquire this new skill
sys.education_learning.academic_admin	学校系统显示学分不够，选课手续怎么办	I need to resolve a registration and graduation requirement
sys.education_learning.learning_methods	做了很多笔记却记不住，怎么改进学习方式	Which study technique helps me retain information better
sys.career_work.job_search	我想找下一份工作，哪里有适合自己的岗位	How can I discover openings suited to my background
sys.career_work.applications	投出去的简历有好几份，怎么跟踪每个申请	I need to organize the status of my submitted applications
sys.career_work.interviews	面试官可能追问我的项目失败经历，该怎么答	How do I prepare for the behavioral interview
sys.career_work.career_strategy	现在继续做本行还是转去新领域更合适	I'm planning the next stage of my career
sys.career_work.workplace_daily	团队每天交接不清，工作中该怎么协作	How should I handle these day-to-day workplace tasks
sys.career_work.compensation_benefits	这份 offer 的奖金和休假待遇如何比较	I want to understand the pay and benefits in this offer
sys.career_work.performance_growth	主管说我的工作影响力不够，我该怎样提升	My performance review points to areas for growth
sys.career_work.networking_professional	怎么和业内认识的人保持专业联系	I'd like to build a professional network in this field
sys.projects_products.project_planning	这个项目有太多依赖，里程碑要怎么排	We need a workable project timeline and owners
sys.projects_products.product_strategy	为什么用户会选择我们的产品而不是现有方案	What customer need should shape our product direction
sys.projects_products.product_requirements	需求描述太含糊，怎样变成明确的验收条件	We need to turn a user request into a precise feature specification
sys.projects_products.ux_user_research	想访谈真实用户来验证这个流程的痛点	How should we study users struggling with this experience
sys.projects_products.roadmap_prioritization	资源有限，下季度功能先做哪几项	Which roadmap items deserve priority this quarter
sys.projects_products.engineering_execution	设计已经定了，如何拆分开发任务并实现	How do we turn this design into working software
sys.projects_products.testing_quality	上线前如何确认核心流程没有被新代码破坏	What quality checks should precede this release
sys.projects_products.launch_operations	新版本发布后该怎样看使用数据和反馈	How should we operate and monitor the product after launch
sys.ai_computing.ai_models_tools	这些不同模型在本地运行的条件有什么区别	Which AI tool is suitable for this use case
sys.ai_computing.prompt_workflows	我想把重复提问变成稳定可复用的流程	How can I design a prompt sequence for a recurring task
sys.ai_computing.coding_software_development	这个接口的实现代码应该怎么写	I need help implementing this software feature
sys.ai_computing.debugging_troubleshooting	应用突然崩溃，日志里哪一行是根因	Help me trace why this program fails at startup
sys.ai_computing.hardware_devices	电脑风扇一直很响，硬盘也快满了	My laptop's hardware is slowing down and overheating
sys.ai_computing.networking_connectivity	手机连上无线网却打不开网页	My devices keep losing their internet connection
sys.ai_computing.cybersecurity_privacy	收到异常登录通知后怎样保护账户	My account may be compromised and I need to secure it
sys.ai_computing.data_systems	多张表之间的关系和同步机制该怎么设计	How should we structure and move this data between systems
sys.finance_purchases.budgeting_cashflow	这个月工资到账后怎么分配开销才能不超支	I need to plan cash coming in and bills going out
sys.finance_purchases.banking_payments	银行卡扣了两次款，该去哪里核对	Why did this payment fail even though the money left my account
sys.finance_purchases.investing	长期持有这类资产会面对哪些风险	How should I evaluate the risk of this investment
sys.finance_purchases.debt_credit	几张卡都欠着钱，先还哪张更划算	How can I manage my borrowing and credit balance
sys.finance_purchases.taxes_insurance	今年的报税资料和保单条款要怎样核对	I need help understanding tax filing and coverage
sys.finance_purchases.subscriptions_recurring	每个月有哪些自动扣款已经不值得保留	Which recurring charges are draining my account
sys.finance_purchases.shopping_research	下单前比较一下这几款产品的差异	Help me research which model to buy
sys.finance_purchases.major_purchases	准备买车，预算上限如何定才不影响生活	This expensive purchase needs a realistic affordability check
sys.home_daily.housing	租房合同快到期了，继续住还是换房	I'm choosing where to live when my lease ends
sys.home_daily.home_improvement	墙上出现裂缝和渗水，应该怎么处理	The bathroom fixture needs repair
sys.home_daily.utilities_services	这个月电费突然上涨，怎么联系服务商查明原因	Our household utility service keeps cutting out
sys.home_daily.chores_cleaning	浴室水垢很重，怎么清理省事	What is a practical routine for cleaning the house
sys.home_daily.possessions_organization	桌上杂物太多，怎样分类放回合适的位置	I need to sort and declutter my belongings
sys.home_daily.local_errands	下班后要去取包裹和买药，路线怎么安排	Help me combine several nearby errands efficiently
sys.home_daily.transportation_ownership	电动车电池续航下降，要做什么保养	When should I maintain my vehicle
sys.home_daily.moving_relocation	搬迁前哪些地址和服务必须更改	I'm relocating and need to coordinate packing and utilities
sys.travel_places.trip_planning	五天假期想去两个地方，怎样安排路线	Help me make an itinerary for a short vacation
sys.travel_places.transport_travel	火车晚点会赶不上下一段航班，怎么办	I need to coordinate the train and flight on my trip
sys.travel_places.lodging	在陌生城市住哪个街区比较方便	Which neighborhood is best for my overnight stay
sys.travel_places.restaurants_travel	到了当地想吃特色菜，附近有什么选择	Where can we find a good place to eat during the trip
sys.travel_places.attractions_activities	这座城市有哪些适合半天游览的地方	What sights or activities can we fit in this afternoon
sys.travel_places.visas_border	转机入境时是否需要签证和额外文件	What are the entry requirements at the border
sys.travel_places.local_navigation	从码头到酒店坐什么车最方便	How do I get around this unfamiliar area
sys.travel_places.trip_records	把路上的见闻和照片按天整理成游记	I want to preserve a record of our journey
sys.media_culture.music	这首曲子的编曲为什么听起来这么特别	What genre and instruments are in this song
sys.media_culture.film_tv	电影结尾的情节暗示了什么	What did the final scene of that series mean
sys.media_culture.books_literature	小说主人公的选择在书里有什么象征	Let's discuss the themes of this novel
sys.media_culture.games	游戏副本打不过去，有什么通关策略	What build should I use for this boss fight
sys.media_culture.art_culture	这个展览的作品属于什么艺术传统	Help me understand the cultural context of this artwork
sys.media_culture.news_media	这篇报道的事实和评论怎么分辨	Is this headline supported by reliable reporting
sys.media_culture.online_culture	这个流行梗是从哪里传开的	Why is this meme circulating everywhere
sys.media_culture.live_events	周末有演出，现场入场和座位怎么安排	What should I know before attending the live performance
sys.communication_writing.email_messages	给客户回信说明延期，但语气要礼貌	Compose a message updating the recipient on the delay
sys.communication_writing.writing_editing	这段话太啰嗦，帮我改得顺畅一些	Polish the wording and structure of this paragraph
sys.communication_writing.translation	把这句口语译成地道的法语	Translate this passage without sounding literal
sys.communication_writing.presentations	明天上台讲这些图表，开场怎么说	How should I present these findings to an audience
sys.communication_writing.documents_reports	把会议材料整理成正式的报告	Help structure this document for a written report
sys.communication_writing.public_posts	写一条可以公开发布的产品更新	Make this announcement suitable for a public post
sys.communication_writing.speaking_conversation	当面解释误会时怎样说才不生硬	How can I phrase this in a face-to-face conversation
sys.communication_writing.negotiation_persuasion	对方不肯让步，我该怎样提出交换条件	What argument might persuade them to accept the deal
sys.legal_civic.legal_questions	这类行为可能违反了什么规定	What legal obligations apply in this situation
sys.legal_civic.contracts_agreements	协议里的自动续期和违约责任有风险吗	What does this clause mean before I sign
sys.legal_civic.complaints_disputes	服务商一直推诿，我想正式申诉	Where can I escalate this unresolved dispute
sys.legal_civic.government_services	这项公共补贴应该向哪个部门申请	How do I apply for this municipal service
sys.legal_civic.identity_documents	证件过期了，补办需要什么资料	What is the process for renewing my ID
sys.legal_civic.immigration_residency	在另一个国家长期居住需要满足哪些条件	How can I qualify for permanent residence
sys.legal_civic.civic_public_policy	新规定会影响哪些社区群体	Let's analyze the effects of this public policy
sys.legal_civic.consumer_rights	商品坏了商家拒绝保修，我有哪些权利	What remedies are available for a faulty purchase
sys.science_technical.physics	电磁场变化为什么会产生感应电流	Explain the physical mechanism behind induction
sys.science_technical.mathematics	这道几何题的证明从哪一步入手	Can you derive this mathematical result step by step
sys.science_technical.computer_science	这个图算法的复杂度如何分析	Why does this data structure have that complexity
sys.science_technical.engineering	桥梁结构怎样分散车辆带来的载荷	How do engineers design this load-bearing structure
sys.science_technical.biology_life_science	基因表达是怎样被细胞调控的	How does this organism regulate cell growth
sys.science_technical.medicine_knowledge	这种病的发病机制在医学上怎么解释	Explain the clinical mechanism of this disease
sys.science_technical.chemistry_materials	两种物质反应为什么会放热	What makes this compound react with the material
sys.science_technical.statistics_data_analysis	样本偏差会怎样影响回归结果	How should I interpret the confidence interval in this dataset
sys.creative_design.visual_design	宣传页的颜色和字体看着不统一	How can I improve the composition of this graphic
sys.creative_design.ux_ui_design	用户总找不到提交按钮，界面如何调整	Redesign this interface so the next action is clear
sys.creative_design.branding_identity	新品牌想显得可靠而年轻，视觉语言怎么定	What logo and identity system would convey this brand
sys.creative_design.photography	夜景拍出来太糊，快门和光圈怎么调	How should I light and frame this portrait
sys.creative_design.illustration_image_creation	想画一幅童话风格的森林场景	Create a hand-drawn image of this character
sys.creative_design.creative_writing	小说开头缺少张力，人物冲突怎么铺设	How can I make this fictional scene more compelling
sys.creative_design.video_audio_creation	这段录音有杂音，剪辑后怎样更自然	Help edit the sound and pacing of this video
